crypto,n_epochs,shannon_entropy,conditional_entropy_lag1,mutual_information_lag1,mutual_information_lag2,mutual_information_lag4,lz_complexity,predictability_score
btc,721,0.9997654776418763,0.9907349664904909,0.009030511151385423,0.0037535544348830108,0.00032857621145665483,1.0665773805665835,-0.00960946270951304
eth,721,0.9997654776418763,0.9916104934555097,0.00815498418636662,9.439975532554712e-05,0.00027712849574290654,1.0665773805665835,-0.00995967349552056
sol,721,0.9995989374563361,0.9980814814314855,0.0015174560248506497,0.002510962630798863,0.0001339462098324251,1.0534097585842799,-0.009914544289450156
xrp,721,0.9999986123684902,0.996785270829117,0.003213341539373138,2.3624802698685166e-05,0.0002479377517645709,1.0402421366019765,-0.006762535652042124
