crypto,hour,avg_volatility,vol_z_score,volatility_regime,position_multiplier
btc,0,0.080875408462349,-0.3370529288782631,Normal,0.7479135480739436
btc,1,0.12373603083963822,-0.0518670508317773,Normal,0.9506904881270282
btc,2,0.09913802662476937,-0.21553717602169076,Normal,0.8226815433756469
btc,3,0.14558116483094966,0.09348603488674388,Normal,0.9145064208374398
btc,4,0.10116672927915253,-0.20203860050655634,Normal,0.8319200394884038
btc,5,0.070961409882661,-0.40301866229696565,Normal,0.7127488941329122
btc,6,0.08110920326532929,-0.33549730573346326,Normal,0.7487847378702078
btc,7,0.07329267547582785,-0.3875068944254115,Normal,0.7207171395095056
btc,8,0.0798081967412743,-0.34415393896292906,Normal,0.7439624071418053
btc,9,0.23906889153889055,0.7155343848402722,Normal,0.5829087477562315
btc,10,0.2717985269145794,0.933310732570188,Normal,0.5172474259585663
btc,11,0.18043155171851868,0.3253734325381941,Normal,0.7545043347405279
btc,12,0.17597479553984047,0.29571908191147706,Normal,0.7717722259093192
btc,13,0.16488545015099462,0.2219328294898488,Normal,0.8183755897756633
btc,14,0.13542437850535632,0.025904841107119797,Normal,0.9747492749140707
btc,15,0.12476902416180816,-0.04499372302505629,Normal,0.9569435470915479
btc,16,0.08512748485168031,-0.30876047600770645,Normal,0.7640817539435777
btc,17,0.18574128041050544,0.3607032890643847,Normal,0.7349140757112426
btc,18,0.10555461731403977,-0.17284248452430095,Normal,0.8526294137491064
btc,19,0.1204178095009685,-0.07394582182327214,Normal,0.9311456683189734
btc,20,0.12417997619944289,-0.04891312855491263,Normal,0.953367798320629
btc,21,0.1331326672764174,0.010656259943253036,Normal,0.9894560986107666
btc,22,0.11225834167207403,-0.12823726390014512,Normal,0.8863383899793839
btc,23,0.09630372104201569,-0.23439606983696032,Normal,0.8101127542734972
eth,0,0.10945302892796871,-0.28329438048925987,Normal,0.77924443152221
eth,1,0.12942711667943338,-0.19089627876749257,Normal,0.8397036902617087
eth,2,0.11803303659276514,-0.2436041362663531,Normal,0.8041144049281465
eth,3,0.16677829054137697,-0.018113541209417595,Normal,0.9822087218406893
eth,4,0.12499929771372445,-0.211378919691564,Normal,0.8255055323685305
eth,5,0.11786679276691008,-0.24437316332396405,Normal,0.8036174593550414
eth,6,0.11785265681936055,-0.24443855478193033,Normal,0.8035752317037745
eth,7,0.09568256744373889,-0.3469951370298055,Normal,0.7423931776064553
eth,8,0.10294642905789628,-0.313393250792546,Normal,0.7613865834901818
eth,9,0.2975571384410062,0.5868561295781454,Normal,0.6301768518018348
eth,10,0.2989352770349746,0.5932312587743634,Normal,0.6276552725743513
eth,11,0.2412521288059075,0.32639487235114395,Normal,0.7539233005533397
eth,12,0.2023914670906585,0.14662939726067495,Normal,0.8721213692837668
eth,13,0.19240980866915774,0.10045525896421471,Normal,0.9087148176666751
eth,14,0.19196401354615356,0.09839305599229733,Normal,0.9104209049251424
eth,15,0.1842258229120059,0.06259697187306276,Normal,0.941090579467094
eth,16,0.11947837855951252,-0.23691813109165016,Normal,0.8084609440702785
eth,17,0.2893756602428226,0.549009442200157,Normal,0.6455738569157049
eth,18,0.11779310625117714,-0.24471402966344005,Normal,0.8033973878083397
eth,19,0.17462709470322924,0.018194229857017095,Normal,0.9821308849299097
eth,20,0.16832389429332625,-0.010963735197191415,Normal,0.9891551647052376
eth,21,0.19188127194418772,0.09801030174338299,Normal,0.9107382675847706
eth,22,0.16948372055623032,-0.00559849667652213,Normal,0.9944326719908343
eth,23,0.11490741676354867,-0.25806293621341647,Normal,0.7948727930971818
sol,0,0.14941100237846508,-0.317618054581427,Normal,0.7589452774443608
sol,1,0.19185126351611387,-0.13626442285438756,Normal,0.8800768376500951
sol,2,0.15910137508584749,-0.2762096316319884,Normal,0.7835703282706167
sol,3,0.229881526341442,0.026244621482967058,Normal,0.9744265441849114
sol,4,0.20433860877705504,-0.08290411467070004,Normal,0.9234427928128148
sol,5,0.12155745812165882,-0.43664044681078557,Normal,0.6960683880367641
sol,6,0.12413935661394081,-0.4256076054527353,Normal,0.7014552925890336
sol,7,0.13578589352805379,-0.37584019804760666,Normal,0.7268285963871788
sol,8,0.15546351181513796,-0.29175476962559804,Normal,0.7741407452204259
sol,9,0.359656359021119,0.5807920390140592,Normal,0.6325942788930671
sol,10,0.404586573337525,0.7727856159179989,Normal,0.5640839992274934
sol,11,0.3236582913563951,0.4269668708564098,Normal,0.7007871173630255
sol,12,0.2530163512399073,0.12510321476772687,Normal,0.8888073439612791
sol,13,0.3185472360602581,0.4051265613233021,Normal,0.7116796646831818
sol,14,0.18986543494739738,-0.14475016759935957,Normal,0.8735530496554429
sol,15,0.24562008126559792,0.09349783852547852,Normal,0.9144965493013181
sol,16,0.19372240778624772,-0.12826874140055722,Normal,0.886313662079007
sol,17,0.2965890072992629,0.3112957406508301,Normal,0.7626044751000823
sol,18,0.20112502927773956,-0.09663622416819379,Normal,0.9118794163110078
sol,19,0.2199837203475603,-0.016050195160556217,Normal,0.9842033442471609
sol,20,0.19918767104283616,-0.104914847872145,Normal,0.9050471191746668
sol,21,0.18187083685308375,-0.17891229006838658,Normal,0.8482395241990325
sol,22,0.2631584702844133,0.16844201789534202,Normal,0.8558404993011561
sol,23,0.17569263693086665,-0.20531266941091242,Normal,0.8296602411793634
xrp,0,0.17855057148129774,-0.23482320811968985,Normal,0.809832527785687
xrp,1,0.22034795503541263,-0.057174308364190816,Normal,0.9459178037984493
xrp,2,0.16564286994433328,-0.28968403388035774,Normal,0.775383717042099
