crypto,day_of_week,day_name,n_epochs,up_pct,edge,p_value,significant
btc,3,Thursday,721,0.5090152565880721,0.009015256588072118,0.6549747656424432,False
eth,3,Thursday,721,0.5090152565880721,0.009015256588072118,0.6549747656424432,False
sol,3,Thursday,721,0.5117891816920943,0.011789181692094308,0.5512910844213673,False
xrp,3,Thursday,721,0.5006934812760055,0.0006934812760055475,1.0,False
