crypto,hour,n_epochs,up_pct,predicted_direction,win_rate,edge,edge_pct,kelly_fraction,ev_per_trade,sharpe_ratio,p_value,significant,ci_95_low,ci_95_high
btc,0,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,1,28,0.4642857142857143,Down,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,2,28,0.5357142857142857,Up,0.5357142857142857,0.0357142857142857,3.57142857142857,0.0714285714285714,0.0714285714285714,0.07161148740394326,0.8505540192127228,False,0.35714285714285715,0.7142857142857143
btc,3,28,0.42857142857142855,Down,0.5714285714285714,0.0714285714285714,7.14285714285714,0.1428571428571428,0.1428571428571428,0.14433756729740638,0.5715881884098053,False,0.39285714285714285,0.75
btc,4,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
btc,5,28,0.5,Down,0.5,0.0,0.0,0.0,0.0,0.0,1.0,False,0.32142857142857145,0.6785714285714286
btc,6,28,0.35714285714285715,Down,0.6428571428571428,0.1428571428571428,14.28571428571428,0.2857142857142856,0.2857142857142856,0.2981423969999718,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
btc,7,28,0.6428571428571429,Up,0.6428571428571429,0.1428571428571429,14.28571428571429,0.2857142857142858,0.2857142857142858,0.2981423969999721,0.1849333420395851,False,0.4642857142857143,0.8214285714285714
btc,8,29,0.3793103448275862,Down,0.6206896551724138,0.12068965517241381,12.06896551724138,0.24137931034482762,0.24137931034482762,0.24873416908154555,0.26493089646101,False,0.4482758620689655,0.7931034482758621
btc,9,32,0.625,Up,0.625,0.125,12.5,0.25,0.25,0.2581988897471611,0.21532714972272515,False,0.46875,0.78125
btc,10,32,0.59375,Up,0.59375,0.09375,9.375,0.1875,0.1875,0.19088542889273333,0.37708558747544885,False,0.4375,0.75
btc,11,32,0.53125,Up,0.53125,0.03125,3.125,0.0625,0.0625,0.06262242910851495,0.860050065908581,False,0.34375,0.6875
btc,12,32,0.4375,Down,0.5625,0.0625,6.25,0.125,0.125,0.1259881576697424,0.5966148958541453,False,0.375,0.71875
