crypto,hour,n_epochs,up_pct,entropy,edge,z_score,p_value,significant
btc,0,28,0.4642857142857143,0.996316519558962,0.0357142857142857,-0.3779644730092271,0.7054569861112734,False
btc,1,28,0.4642857142857143,0.996316519558962,0.0357142857142857,-0.3779644730092271,0.7054569861112734,False
btc,2,28,0.5357142857142857,0.996316519558962,0.0357142857142857,0.3779644730092271,0.7054569861112734,False
btc,3,28,0.42857142857142855,0.9852281360342515,0.07142857142857145,-0.7559289460184547,0.4496917979688906,False
btc,4,28,0.5,1.0,0.0,0.0,1.0,False
btc,5,28,0.5,1.0,0.0,0.0,1.0,False
btc,6,28,0.35714285714285715,0.9402859586706311,0.14285714285714285,-1.511857892036909,0.1305700181157361,False
btc,7,28,0.6428571428571429,0.9402859586706311,0.1428571428571429,1.5118578920369095,0.1305700181157361,False
btc,8,29,0.3793103448275862,0.9575534837147482,0.12068965517241381,-1.2998673672393632,0.19364643126922054,False
btc,9,32,0.625,0.954434002924965,0.125,1.414213562373095,0.15729920705028522,False
btc,10,32,0.59375,0.9744894033980523,0.09375,1.0606601717798212,0.2888443663464848,False
btc,11,32,0.53125,0.9971803988942642,0.03125,0.35355339059327373,0.7236736098317631,False
btc,12,32,0.4375,0.9886994082884974,0.0625,-0.7071067811865475,0.4795001221869535,False
btc,13,32,0.5625,0.9886994082884974,0.0625,0.7071067811865475,0.4795001221869535,False
btc,14,32,0.59375,0.9744894033980523,0.09375,1.0606601717798212,0.2888443663464848,False
btc,15,32,0.5625,0.9886994082884974,0.0625,0.7071067811865475,0.4795001221869535,False
btc,16,32,0.40625,0.9744894033980523,0.09375,-1.0606601717798212,0.2888443663464848,False
btc,17,32,0.5,1.0,0.0,0.0,1.0,False
btc,18,32,0.53125,0.9971803988942642,0.03125,0.35355339059327373,0.7236736098317631,False
btc,19,32,0.53125,0.9971803988942642,0.03125,0.35355339059327373,0.7236736098317631,False
btc,20,32,0.5,1.0,0.0,0.0,1.0,False
btc,21,28,0.5357142857142857,0.996316519558962,0.0357142857142857,0.3779644730092271,0.7054569861112734,False
btc,22,28,0.5714285714285714,0.9852281360342515,0.0714285714285714,0.7559289460184542,0.449691797968891,False
btc,23,28,0.42857142857142855,0.9852281360342515,0.07142857142857145,-0.7559289460184547,0.4496917979688906,False
eth,0,28,0.42857142857142855,0.9852281360342515,0.07142857142857145,-0.7559289460184547,0.4496917979688906,False
eth,1,28,0.5,1.0,0.0,0.0,1.0,False
eth,2,28,0.32142857142857145,0.9059282160429991,0.17857142857142855,-1.889822365046136,0.05878172135535897,False
eth,3,28,0.5357142857142857,0.996316519558962,0.0357142857142857,0.3779644730092271,0.7054569861112734,False
eth,4,28,0.6428571428571429,0.9402859586706311,0.1428571428571429,1.5118578920369095,0.1305700181157361,False
eth,5,28,0.5,1.0,0.0,0.0,1.0,False
eth,6,28,0.39285714285714285,0.9666186325481027,0.10714285714285715,-1.133893419027682,0.25683925795785667,False
eth,7,28,0.5714285714285714,0.9852281360342515,0.0714285714285714,0.7559289460184542,0.449691797968891,False
eth,8,29,0.4827586206896552,0.9991421039919088,0.017241379310344807,-0.18569533817705164,0.8526836843346428,False
eth,9,32,0.5,1.0,0.0,0.0,1.0,False
eth,10,32,0.5625,0.9886994082884974,0.0625,0.7071067811865475,0.4795001221869535,False
eth,11,32,0.5,1.0,0.0,0.0,1.0,False
eth,12,32,0.46875,0.9971803988942642,0.03125,-0.35355339059327373,0.7236736098317631,False
eth,13,32,0.53125,0.9971803988942642,0.03125,0.35355339059327373,0.7236736098317631,False
eth,14,32,0.5,1.0,0.0,0.0,1.0,False
eth,15,32,0.40625,0.9744894033980523,0.09375,-1.0606601717798212,0.2888443663464848,False
eth,16,32,0.53125,0.9971803988942642,0.03125,0.35355339059327373,0.7236736098317631,False
eth,17,32,0.40625,0.9744894033980523,0.09375,-1.0606601717798212,0.2888443663464848,False
eth,18,32,0.59375,0.9744894033980523,0.09375,1.0606601717798212,0.2888443663464848,False
eth,19,32,0.5,1.0,0.0,0.0,1.0,False
eth,20,32,0.65625,0.9283620723948676,0.15625,1.7677669529663687,0.07709987174354183,False
eth,21,28,0.5357142857142857,0.996316519558962,0.0357142857142857,0.3779644730092271,0.7054569861112734,False
eth,22,28,0.6071428571428571,0.9666186325481028,0.1071428571428571,1.1338934190276813,0.25683925795785667,False
eth,23,28,0.5357142857142857,0.996316519558962,0.0357142857142857,0.3779644730092271,0.7054569861112734,False
sol,0,28,0.4642857142857143,0.996316519558962,0.0357142857142857,-0.3779644730092271,0.7054569861112734,False
sol,1,28,0.5714285714285714,0.9852281360342515,0.0714285714285714,0.7559289460184542,0.449691797968891,False
sol,2,28,0.4642857142857143,0.996316519558962,0.0357142857142857,-0.3779644730092271,0.7054569861112734,False
sol,3,28,0.5714285714285714,0.9852281360342515,0.0714285714285714,0.7559289460184542,0.449691797968891,False
sol,4,28,0.5714285714285714,0.9852281360342515,0.0714285714285714,0.7559289460184542,0.449691797968891,False
sol,5,28,0.5,1.0,0.0,0.0,1.0,False
sol,6,28,0.39285714285714285,0.9666186325481027,0.10714285714285715,-1.133893419027682,0.25683925795785667,False
sol,7,28,0.6071428571428571,0.9666186325481028,0.1071428571428571,1.1338934190276813,0.25683925795785667,False
sol,8,29,0.5172413793103449,0.9991421039919088,0.017241379310344862,0.18569533817705225,0.8526836843346424,False
sol,9,32,0.59375,0.9744894033980523,0.09375,1.0606601717798212,0.2888443663464848,False
sol,10,32,0.59375,0.9744894033980523,0.09375,1.0606601717798212,0.2888443663464848,False
