crypto,hurst_exponent,behavior,deviation_from_random
btc,0.6183523009284275,Persistent/Momentum,0.11835230092842752
eth,0.6277726858218745,Persistent/Momentum,0.1277726858218745
sol,0.6260046936835305,Persistent/Momentum,0.1260046936835305
xrp,0.6565126701451603,Persistent/Momentum,0.15651267014516035
