crypto,epoch,rolling_entropy,predictability
btc,1970-01-01 00:00:01.767814200,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767815100,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767816000,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767816900,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767817800,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767818700,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767819600,1.0,0.0
btc,1970-01-01 00:00:01.767820500,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767821400,1.0,0.0
btc,1970-01-01 00:00:01.767822300,1.0,0.0
btc,1970-01-01 00:00:01.767823200,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767824100,1.0,0.0
btc,1970-01-01 00:00:01.767825000,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767825900,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767826800,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767827700,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767828600,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767829500,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767830400,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767831300,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767832200,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767833100,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767834000,0.9182958340544894,0.08170416594551055
btc,1970-01-01 00:00:01.767834900,0.9182958340544894,0.08170416594551055
btc,1970-01-01 00:00:01.767835800,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767836700,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767837600,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767838500,0.954434002924965,0.04556599707503495
btc,1970-01-01 00:00:01.767839400,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767840300,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767841200,0.9798687566511527,0.020131243348847305
btc,1970-01-01 00:00:01.767842100,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767843000,0.99498482818597,0.005015171814029995
btc,1970-01-01 00:00:01.767843900,0.9798687566511527,0.020131243348847305
