crypto,n_transitions,momentum_pct,mean_reversion_pct,behavior,strength,chi2,p_value,significant
btc,720,0.4444444444444444,0.5555555555555556,Mean Reversion,0.05555555555555558,8.88888888888889,0.0028691127920766136,True
eth,720,0.44722222222222224,0.5527777777777778,Mean Reversion,0.05277777777777776,8.022222222222222,0.004620683963359924,True
sol,720,0.4777777777777778,0.5222222222222221,Mean Reversion,0.0222222222222222,1.4222222222222223,0.23303798227390204,False
xrp,720,0.4666666666666667,0.5333333333333333,Mean Reversion,0.033333333333333326,3.2,0.07363827012030295,False
