crypto,epoch,order_parameter,susceptibility
btc,1970-01-01 00:00:01.767834900,0.3333333333333333,0.02072010869565217
btc,1970-01-01 00:00:01.767835800,0.25,0.01927334943639291
btc,1970-01-01 00:00:01.767836700,0.25,0.0188707729468599
btc,1970-01-01 00:00:01.767837600,0.25,0.018065619967793874
btc,1970-01-01 00:00:01.767838500,0.25,0.016857890499194842
btc,1970-01-01 00:00:01.767839400,0.16666666666666666,0.01478210547504025
btc,1970-01-01 00:00:01.767840300,0.16666666666666666,0.012479871175523342
btc,1970-01-01 00:00:01.767841200,0.16666666666666666,0.011423107890499187
btc,1970-01-01 00:00:01.767842100,0.08333333333333333,0.011423107890499187
btc,1970-01-01 00:00:01.767843000,0.08333333333333333,0.01055505233494363
btc,1970-01-01 00:00:01.767843900,0.16666666666666666,0.009347322866344597
btc,1970-01-01 00:00:01.767844800,0.16666666666666666,0.00644122383252817
btc,1970-01-01 00:00:01.767845700,0.16666666666666666,0.004981884057971004
btc,1970-01-01 00:00:01.767846600,0.08333333333333333,0.004981884057971004
btc,1970-01-01 00:00:01.767847500,0.0,0.00644122383252817
btc,1970-01-01 00:00:01.767848400,0.0,0.007799919484702084
btc,1970-01-01 00:00:01.767849300,-0.08333333333333333,0.01055505233494363
btc,1970-01-01 00:00:01.767850200,-0.08333333333333333,0.013083735909822859
btc,1970-01-01 00:00:01.767851100,-0.16666666666666666,0.01679498792270531
btc,1970-01-01 00:00:01.767852000,-0.16666666666666666,0.020518820450885666
btc,1970-01-01 00:00:01.767852900,-0.16666666666666666,0.023953301127214166
btc,1970-01-01 00:00:01.767853800,-0.16666666666666666,0.02697262479871175
btc,1970-01-01 00:00:01.767854700,-0.25,0.03074677938808373
btc,1970-01-01 00:00:01.767855600,-0.25,0.03189160628019323
btc,1970-01-01 00:00:01.767856500,-0.25,0.03180354267310789
btc,1970-01-01 00:00:01.767857400,-0.16666666666666666,0.030985809178743964
btc,1970-01-01 00:00:01.767858300,-0.16666666666666666,0.029539049919484705
btc,1970-01-01 00:00:01.767859200,-0.08333333333333333,0.02672101449275363
btc,1970-01-01 00:00:01.767860100,0.0,0.023437500000000003
btc,1970-01-01 00:00:01.767861000,0.0,0.02172654991948471
btc,1970-01-01 00:00:01.767861900,-0.08333333333333333,0.01987721417069244
btc,1970-01-01 00:00:01.767862800,-0.08333333333333333,0.017801429146537852
btc,1970-01-01 00:00:01.767863700,-0.08333333333333333,0.016895632045088576
btc,1970-01-01 00:00:01.767864600,-0.08333333333333333,0.01588919082125605
btc,1970-01-01 00:00:01.767865500,-0.16666666666666666,0.013574376006441236
btc,1970-01-01 00:00:01.767866400,-0.16666666666666666,0.010856984702093411
btc,1970-01-01 00:00:01.767867300,-0.16666666666666666,0.0077370169082125765
btc,1970-01-01 00:00:01.767868200,-0.16666666666666666,0.006038647342995187
btc,1970-01-01 00:00:01.767869100,-0.08333333333333333,0.0054222020933977644
btc,1970-01-01 00:00:01.767870000,-0.16666666666666666,0.004717693236714995
btc,1970-01-01 00:00:01.767870900,-0.16666666666666666,0.004629629629629649
btc,1970-01-01 00:00:01.767871800,-0.16666666666666666,0.00451640499194849
btc,1970-01-01 00:00:01.767872700,-0.08333333333333333,0.004629629629629649
btc,1970-01-01 00:00:01.767873600,-0.08333333333333333,0.004717693236714995
btc,1970-01-01 00:00:01.767874500,0.0,0.0054222020933977644
btc,1970-01-01 00:00:01.767875400,0.0,0.006026066827697281
btc,1970-01-01 00:00:01.767876300,0.0,0.00583735909822868
btc,1970-01-01 00:00:01.767877200,0.0,0.00542220209339776
btc,1970-01-01 00:00:01.767878100,0.0,0.004780595813204523
btc,1970-01-01 00:00:01.767879000,-0.08333333333333333,0.004516404991948483
btc,1970-01-01 00:00:01.767879900,-0.16666666666666666,0.004516404991948483
btc,1970-01-01 00:00:01.767880800,-0.25,0.005623490338164265
btc,1970-01-01 00:00:01.767881700,-0.3333333333333333,0.00753572866344607
btc,1970-01-01 00:00:01.767882600,-0.3333333333333333,0.009045390499194863
btc,1970-01-01 00:00:01.767883500,-0.25,0.00964925523349438
btc,1970-01-01 00:00:01.767884400,-0.25,0.010152475845410645
btc,1970-01-01 00:00:01.767885300,-0.16666666666666666,0.010064412238325299
btc,1970-01-01 00:00:01.767886200,-0.16666666666666666,0.00995118760064414
btc,1970-01-01 00:00:01.767887100,-0.08333333333333333,0.010064412238325299
btc,1970-01-01 00:00:01.767888000,-0.08333333333333333,0.010152475845410645
btc,1970-01-01 00:00:01.767888900,-0.16666666666666666,0.010152475845410645
btc,1970-01-01 00:00:01.767889800,-0.08333333333333333,0.010215378421900177
btc,1970-01-01 00:00:01.767890700,-0.08333333333333333,0.010215378421900177
btc,1970-01-01 00:00:01.767891600,0.0,0.01086956521739132
btc,1970-01-01 00:00:01.767892500,0.0,0.011423107890499207
btc,1970-01-01 00:00:01.767893400,0.08333333333333333,0.012970511272141718
btc,1970-01-01 00:00:01.767894300,0.08333333333333333,0.01448017310789051
