source,target,transfer_entropy,n_epochs
btc,eth,0.0010913509623454764,721
btc,sol,0.0011062764884538388,721
btc,xrp,0.0023829590119697226,721
eth,btc,0.0012965284451561688,721
eth,sol,0.005958302154386806,721
eth,xrp,0.0018646184574705748,721
sol,btc,0.0009282881805292635,721
sol,eth,0.00784462939399699,721
sol,xrp,7.841021455216044e-05,721
xrp,btc,0.004865205001667561,721
xrp,eth,0.001962654973130121,721
xrp,sol,0.0016481465002499565,721
