crypto,pattern_length,n_patterns,unique_patterns,pattern_entropy,normalized_pattern_entropy,most_common_pattern,most_common_frequency
btc,3,719,8,2.975738495397832,0.9919128317992773,UpDownUp,0.14881780250347706
eth,3,719,8,2.9826315590320944,0.9942105196773648,UpDownUp,0.15299026425591097
sol,3,719,8,2.992297483672733,0.9974324945575778,DownUpUp,0.13908205841446453
xrp,3,719,8,2.992401939772905,0.9974673132576349,UpDownUp,0.1474269819193324
